Percent 65 and Older,Percent Under 18 Years,Percent Under 5 Years,county,Bachelor's Degree or Higher,High School or Higher,American Indian and Alaska Native Alone,Asian Alone,Black Alone,Hispanic or Latino,Native Hawaiian and Other Pacific Islander Alone,Two or More Races,White Alone,"White Alone, not Hispanic or Latino",Per Capita Income,Persons Below Poverty Level,Median Household Income,2010 Population,2014 Population,Population Percent Change,Population per Square Mile,state
15.1,24.6,5.8,Sandoval County,28.3,90.8,13.7,1.6,2.6,37.4,0.2,2.8,79.2,45.3,26924,14.2,58017,131561,137608,4.6,35.5,NM
13.1,27.3,7.3,San Juan County,15.2,81.6,38.8,0.6,0.9,19.5,0.1,2.7,57,40.6,21260,22.4,48196,130044,123785,-4.8,23.6,NM
18.4,19.9,5.4,San Miguel County,19.6,83.9,3.1,1.1,1.9,77.2,0.2,1.9,92,19,17926,29.4,28275,29393,28239,-3.9,6.2,NM
19.6,19.5,4.8,Santa Fe County,39.7,87,4.1,1.4,1.2,51.3,0.2,2.1,91,43.1,32298,17,52917,144170,148164,2.8,75.5,NM
34,15.2,4,Sierra County,21.1,84,2.5,0.5,0.8,29.4,0,2.9,93.3,66.5,17752,22.6,27430,11988,11325,-5.5,2.9,NM
16.8,23.4,6.2,Socorro County,19.4,78.7,13.3,1.5,1.3,49.3,0.1,2.4,81.5,35.8,18104,25.1,34036,17866,17310,-3.1,2.7,NM
22.3,19.1,5.1,Taos County,29.5,87.5,7.4,1,0.8,56.1,0.2,2.6,88,36.1,21333,25.3,32637,32937,33084,0.4,15,NM
18,22.3,5.3,Torrance County,14.7,80.7,4,0.5,2.2,41.3,0.3,2.6,90.4,53.1,18675,28.6,31161,16383,15611,-4.7,4.9,NM
19.7,18.5,4.9,Union County,17,77.3,3,0.6,2,41,0,2.2,92.2,54,18472,11.9,38902,4549,4297,-5.6,1.2,NM
15.4,24.6,6.2,Valencia County,16.6,80.7,5.6,0.9,1.7,59.5,0.2,2.2,89.6,34.3,19623,23.6,42506,76569,75817,-1,71.8,NM
15.3,18.9,5,Albany County,38.8,92.1,0.3,5.8,13.7,5.7,0.1,2.5,77.6,73.8,32328,13,59394,304204,308171,1.3,581.9,NY
17.1,20.7,5.1,Allegany County,18.9,88.3,0.3,1.3,1.3,1.6,0,1.3,95.8,94.6,20978,16.5,42445,48946,47736,-2.5,47.6,NY
11.2,25.5,7.6,Bronx County,18.1,69.9,2.9,4.4,43.5,54.8,0.4,3.3,45.5,10.2,18171,29.8,34388,1385108,1438159,3.8,32903.6,NY
17.5,19.7,5.1,Broome County,26.1,89.6,0.2,4.2,5.7,3.9,0.1,2.6,87.3,84.5,24835,17.4,45958,200600,197349,-1.6,284.2,NY
17.1,22.7,5.8,Cattaraugus County,17.2,87.5,3.3,0.8,1.5,2,0,1.9,92.4,91,22049,17.9,42603,80317,78600,-2.1,61.4,NY
17.1,20.4,5.2,Cayuga County,19.6,86.3,0.4,0.7,4.3,2.8,0.1,1.9,92.7,90.7,24702,12.7,51581,80026,78823,-1.5,115.7,NY
18.1,20.9,5.3,Chautauqua County,20.7,87.4,0.7,0.7,2.7,7,0,2,93.9,88,22168,19.1,42429,134905,132053,-2.1,127.2,NY
17,21.8,6,Chemung County,21.5,88.8,0.3,1.4,6.8,2.9,0,2.9,88.5,86.5,25329,15.7,48804,88830,87770,-1.2,218.1,NY
18.9,21.3,5.4,Chenango County,17.1,86.7,0.4,0.5,1,2.1,0,1.4,96.7,94.8,22097,15.5,43941,50477,49426,-2.1,56.5,NY
15.2,18.3,4.8,Clinton County,22.1,84.6,0.4,1.4,4.5,2.8,0,1.5,92.2,90.1,24676,14.5,50282,82128,81632,-0.6,79.1,NY
20.9,18.5,4.3,Columbia County,28.2,87.2,0.3,1.8,5.2,4.5,0.1,2,90.6,87.1,33613,9.8,57336,63096,62122,-1.5,99.4,NY
15,19.6,4.8,Cortland County,23.5,90.1,0.3,1.1,1.9,2.6,0,1.8,94.8,92.7,23179,14.7,47151,49336,49024,-0.6,98.9,NY
21.9,18.2,4.8,Delaware County,19.8,86.7,0.3,0.9,2,3.7,0,1.3,95.4,92.4,23677,14.2,44470,47980,46581,-2.9,33.3,NY
15.5,20.2,4.8,Dutchess County,32.9,89.6,0.5,3.9,11.1,11.6,0.1,2.3,82.1,72.7,33594,9,72525,297488,296579,-0.3,373.9,NY
16.5,20.7,5.4,Erie County,30.9,89.8,0.7,3.2,13.9,5.1,0,1.9,80.3,76.4,27978,14.6,50653,919040,922835,0.4,881.4,NY
21,17.3,4.2,Essex County,23.3,87.5,0.5,0.7,3.2,3.1,0,1.3,94.3,92,26582,11.9,47380,39370,38679,-1.8,21.9,NY
14.9,19.9,5.2,Franklin County,16.5,83.6,7.8,0.5,6.4,3.3,0,1.4,83.9,81.6,21575,19.2,45667,51599,51262,-0.6,31.7,NY
18.1,20.8,5,Fulton County,14.9,85.4,0.2,0.7,2,2.8,0,1.5,95.6,93.3,23839,16.1,44276,55531,54105,-2.6,112.1,NY
17.2,20.7,5.2,Genesee County,20.8,90.3,1.2,0.7,3.2,3,0,1.8,93.1,90.9,25403,12.6,49922,60079,59162,-1.5,121.9,NY
20,17.2,4.4,Greene County,20.1,86.4,0.4,0.9,6.5,5.5,0,1.8,90.4,86,25700,15.1,49655,49221,47967,-2.5,76.1,NY
26.8,15.1,3.4,Hamilton County,24.2,89.9,0.3,0.5,1,1.4,0.1,1.3,96.8,95.6,28265,9.4,51522,4836,4715,-2.5,2.8,NY
18.8,21.1,5.4,Herkimer County,20.5,88.7,0.3,0.6,1.2,2.1,0,1.3,96.6,94.9,23418,15,45047,64519,63744,-1.2,45.7,NY
12.2,24.8,8.7,Jefferson County,20,88.1,0.7,1.7,6.6,7.3,0.3,2.8,87.9,82.2,23078,15.4,46484,116229,119103,2.5,91.6,NY
12.1,23.3,7.6,Kings County,30.6,78.5,1,12.1,35.2,19.5,0.1,2.4,49.3,35.8,25289,23.2,46085,2504700,2621793,4.7,35369.1,NY
16.6,23.6,6.3,Lewis County,13.6,87.6,0.3,0.4,0.9,1.7,0.1,1.1,97.2,95.8,22942,13.5,46840,27087,27220,0.5,21.3,NY
15.8,18.7,4.3,Livingston County,24.4,89.2,0.4,1.4,3,3.4,0,1.5,93.7,90.9,23978,13.4,53518,65393,64586,-1,103.5,NY
15.9,20.3,4.7,Madison County,25.9,90.3,0.7,0.9,2,2,0,1.4,95,93.4,25230,11.3,53589,73442,72369,-1.5,112.2,NY
15.5,21.5,5.6,Monroe County,35.8,89.6,0.4,3.6,16.1,8.1,0.1,2.5,77.3,71.5,28732,15,52394,744344,749857,0.7,1132.6,NY
17.7,22.6,5.9,Montgomery County,16,83.3,0.5,0.8,2.7,12.6,0.1,1.9,93.9,83.2,23417,18.7,44156,50219,49779,-0.9,124.6,NY
16.4,22.1,5.4,Nassau County,41.5,90.2,0.5,9.1,12.6,16.1,0.1,1.7,76.1,62.3,42400,6,97690,1339532,1358627,1.4,4704.8,NY
14.4,14.7,5.2,New York County,58.9,86,1.2,12.5,18.3,25.9,0.2,3.2,64.7,47.1,62498,17.7,69659,1585873,1636268,3.2,69467.5,NY
17.4,20.3,5.2,Niagara County,22.2,89.9,1.1,1.1,7.1,2.6,0,2.3,88.3,86.3,25991,13.7,47955,216469,213525,-1.4,414.4,NY
17.5,21.3,5.8,Oneida County,22.4,86.6,0.3,3.7,6.8,5.3,0.1,2.1,87,83,25103,15.9,48729,234878,232871,-0.9,193.7,NY
15.3,21.9,5.8,Onondaga County,33.1,89.9,0.9,3.6,11.7,4.6,0,2.9,80.9,77.8,28746,14.8,54242,467026,468196,0.2,600,NY
17.7,20.8,5,Ontario County,31.7,91.8,0.3,1.2,2.6,4.3,0,1.8,94,90.6,29904,9.5,56479,107931,109707,1.5,167.6,NY
12.6,26,6.5,Orange County,28.7,87.7,0.8,2.8,11.8,19.4,0.1,2.8,81.8,66.1,30583,12.4,70458,372813,376099,0.9,459.3,NY
16.2,20.2,4.9,Orleans County,16.4,85.5,0.8,0.5,6.7,4.7,0,1.9,90,86.4,22255,13.4,48502,42883,41984,-2.1,109.6,NY
14.5,21.6,5.5,Oswego County,17.2,86.4,0.5,0.7,1.1,2.3,0,1.3,96.3,94.4,23126,17.4,48051,122109,120913,-1,128.3,NY
18.6,16.7,4.1,Otsego County,26.8,89.6,0.2,1.4,2.2,3.5,0.1,1.6,94.5,91.7,24165,15.5,47765,62259,61128,-1.8,62.2,NY
14.8,21.4,4.5,Putnam County,38.4,92.2,0.3,2.4,3.2,13,0.1,1.8,92.3,80.8,40309,5.8,95117,99710,99487,-0.3,432.9,NY
13.6,20.4,6.3,Queens County,30,80.1,1.3,25.8,20.8,28,0.2,2.8,49.1,26.2,26495,15,57001,2230722,2321580,4.1,20553.6,NY
15.2,20.2,5.3,Rensselaer County,28.6,90.3,0.3,2.5,7.3,4.5,0,2.4,87.5,84.3,29987,13.2,59432,159429,159774,0.2,244.4,NY
14.6,22.2,5.8,Richmond County,29.7,88,0.6,8.3,11.9,18.1,0.1,2,77.1,62.6,31823,11.9,72569,468730,473279,1,8030.3,NY
14.8,27.7,7.5,Rockland County,40.4,87.5,0.5,6.7,13.1,17.1,0.1,1.9,77.7,63.4,34591,13.6,84951,311687,323866,3.9,1795.9,NY
15.3,20.7,5.5,St. Lawrence County,20.4,87.1,1,1.2,2.5,2.2,0.1,1.4,93.8,92.2,22198,19.6,43647,111944,111400,-0.5,41.8,NY
15.9,21.1,5.1,Saratoga County,37.1,93.4,0.2,2.4,1.8,2.9,0,1.6,93.9,91.4,35176,6.5,69826,219607,224921,2.4,271.1,NY
15.6,22.2,6,Schenectady County,29,90.4,0.7,4.5,11.3,6.6,0.2,3.5,79.8,75.4,28319,12.7,56061,154727,155735,0.7,756.6,NY
18.7,18.8,4.6,Schoharie County,19.3,87.5,0.3,0.8,1.5,3.1,0,1.4,96.1,93.5,26584,11.5,53245,32749,31566,-3.6,52.7,NY
19.2,19.7,5.1,Schuyler County,16.9,89.1,0.3,0.4,1.2,1.7,0,1.4,96.7,95.3,24173,11.5,46976,18343,18479,0.7,55.9,NY
17.4,20.1,5.1,Seneca County,19.2,84.8,0.4,0.8,5.4,3.1,0,1.5,92,89.5,23115,12.3,47618,35251,34884,-1,108.9,NY
17.4,22.3,5.7,Steuben County,20.8,88.2,0.3,1.5,1.6,1.6,0,1.5,95.1,93.8,25371,15.5,47476,98990,98394,-0.6,71.2,NY
15.2,22.2,5.4,Suffolk County,32.9,89.9,0.6,4,8.3,18.2,0.1,1.8,85.2,69.3,36945,6.4,87763,1493350,1502968,0.6,1637.4,NY
16.8,21.6,5.9,Sullivan County,20.9,84.5,0.7,1.7,9.8,14.9,0.1,2.5,85.2,73.1,24963,18.2,48089,77547,75943,-2.1,80.1,NY
17.9,21.9,5.2,Tioga County,24.1,90.9,0.2,0.7,0.9,1.7,0.1,1.2,96.8,95.5,27230,9.3,55726,51125,49870,-2.5,98.6,NY
12.3,15.4,4.2,Tompkins County,49.3,93.1,0.4,10.4,4.4,4.7,0.1,3.2,81.5,77.9,27418,20.5,51393,101564,104691,3,214,NY
17.4,18.5,4.5,Ulster County,29.9,88.7,0.4,2,6.8,9.8,0,2.6,88.1,80.2,30442,12.5,58590,182493,180445,-1.1,162.3,NY
19.8,19,4.7,Warren County,28,90.8,0.3,0.9,1.2,2.2,0,1.5,96.2,94.3,30351,10.9,55904,65707,64973,-1.1,75.8,NY
17.3,19.8,4.9,Washington County,18.3,87.6,0.3,0.5,3.4,2.5,0,1.1,94.6,92.7,24168,13.2,52361,63216,62372,-1.3,76.1,NY
16.5,22.1,5.4,Wayne County,20.9,88.7,0.4,0.7,3.3,4,0,1.9,93.7,90.3,25327,11.3,52601,93772,92051,-1.8,155.3,NY
15.6,22.9,5.7,Westchester County,45.4,87.6,0.8,6.2,16.1,23.7,0.1,2.3,74.4,55,47984,9.5,81946,949113,972634,2.5,2204.7,NY
15.5,19.2,4.8,Wyoming County,14.6,86.3,0.4,0.5,6.1,3.2,0,1,92,89.7,22700,10.5,51100,42155,41188,-2.3,71.1,NY
18.4,23.3,6.4,Yates County,23.2,85.6,0.3,0.5,1,2.2,0,1,97.2,95.3,24457,15.9,49335,25348,25208,-0.6,75,NY
16.1,22.9,5.8,Alamance County,21.7,83,1.4,1.6,19.5,12.1,0.1,1.9,75.5,65.7,23166,18.3,43043,151131,155792,3,356.5,NC
18.9,21,5,Alexander County,11.7,79.3,0.4,1.1,5.9,4.4,0,1.3,91.2,87.3,20440,17.2,40637,37198,37392,0.5,143.1,NC
24.5,18.1,4.3,Alleghany County,18.3,79.4,0.5,0.8,1.9,9.5,0,1.4,95.4,87,19510,19.8,35170,11155,10879,-2.5,47.5,NC
16.4,20.4,4.9,Anson County,10.2,76.3,0.8,1.1,48.6,3.5,0.1,1.3,48.1,45.5,16752,24.2,33870,26948,25765,-4.4,50.7,NC
23.6,18.6,4.7,Ashe County,19.5,81.4,0.3,0.5,1,5.3,0,1,97.2,92.4,20838,21.1,35951,27281,27126,-0.6,64,NC
20.3,16.1,3.9,Avery County,20.4,81.5,0.5,0.6,4.4,4.7,0,0.8,93.6,89.2,21598,18,36969,17797,17773,-0.1,72,NC
21.6,21.2,5.4,Beaufort County,18.3,81.7,0.9,0.6,25.3,7.5,0.1,1.3,71.8,66,21636,21,40429,47759,47585,-0.4,57.7,NC
19.8,18.8,4.4,Bertie County,10.6,72.6,0.5,0.6,61.4,1.7,0.1,1.1,36.2,35.2,17096,23.4,30768,21282,20106,-5.6,30.4,NC
18.7,21.6,5.1,Bladen County,10.5,74.7,2.9,0.3,34.6,7.7,0,1.5,60.7,54.6,19154,25.8,30164,35190,34657,-1.5,40.2,NC
27,17.2,4.5,Brunswick County,25.1,86.3,0.9,0.7,11.2,4.8,0.1,1.7,85.4,81.4,26839,16.6,46438,107431,118836,10.6,126.8,NC
18.1,19.4,5.3,Buncombe County,33.8,89,0.5,1.2,6.5,6.5,0.2,2,89.6,83.7,26159,17.1,44713,238318,250539,5.1,362.9,NC
18.4,19.9,4.8,Burke County,16.6,76.7,0.8,3.7,6.8,5.8,0.7,1.6,86.4,82.1,19701,20,37263,90912,89486,-1.6,179.3,NC
12.5,26.2,6.3,Cabarrus County,25.1,86.4,0.7,2.8,17.1,10,0.1,2,77.4,69,25247,13.2,53551,178011,192103,7.8,492.1,NC
17.8,21.1,5.1,Caldwell County,12.5,75.7,0.6,0.7,5.1,5,0.1,1.4,92.1,88,19228,19.5,34357,83029,81484,-1.9,176.1,NC
14.9,23.9,4.5,Camden County,18.8,86.3,0.5,2.5,12.6,2.6,0,2.2,82.2,80.1,25620,6,56607,9980,10331,3.5,41.5,NC
21.8,18.4,4.5,Carteret County,23.9,88.3,0.6,1.2,6.2,4.3,0.1,2.1,89.7,86.2,27496,14.4,46534,66469,68811,3.5,131.3,NC
19.6,19,4.7,Caswell County,9,73.2,0.6,0.3,33.5,3.6,0,1.6,64,61.2,17975,22.6,35315,23719,23082,-2.7,55.8,NC
16.2,23,5.7,Catawba County,21,82.3,0.5,4.1,8.9,8.9,0.1,1.7,84.7,76.8,23232,15.2,44332,154358,154534,0.1,387.1,NC
23.6,20.3,4.8,Chatham County,36.4,85.8,1.2,1.8,13.1,12.8,0.1,1.5,82.2,71.4,31175,12.4,57091,63505,68698,8.2,93.1,NC
26.7,17.9,4.4,Cherokee County,16.7,81.9,1.4,0.7,1.6,2.8,0.1,2.4,93.8,91.6,18340,17.9,34432,27444,27141,-1.1,60.3,NC
22.4,21.1,5.4,Chowan County,20.1,79.7,0.5,0.7,34.2,3.2,0.2,1.2,63.2,60.8,19240,29,34420,14793,14572,-1.5,85.8,NC
28.2,17.8,4.3,Clay County,20.6,86.9,0.4,0.2,1.1,3,0,1.4,96.8,94,22081,24.3,38828,10587,10581,-0.1,49.3,NC
17.1,22.3,5.7,Cleveland County,16.3,82,0.3,1,20.9,3.1,0,1.6,76.1,73.5,20062,19.3,38989,98078,97076,-1,211.3,NC
17.7,22.3,5.5,Columbus County,12.2,79.2,3.5,0.4,30.5,4.9,0.1,1.7,63.9,60.3,19275,25,35761,58098,56953,-2,62,NC
17.1,22.5,7,Craven County,21,87.2,0.6,2.6,21.7,7.1,0.2,2.7,72.2,66.3,24260,16.6,47141,103505,104510,1,146,NC
10.8,25.8,8.2,Cumberland County,22.7,89.2,1.8,2.7,37.6,11,0.4,4.3,53.2,45.2,23067,17,45231,319431,326328,2.2,489.7,NC
14.9,22.1,5.1,Currituck County,18.4,85,0.6,0.8,6.1,3.7,0.1,2.1,90.4,87.4,25854,9.8,57159,23547,24976,6.1,89.9,NC
18.7,19.6,5.3,Dare County,30.6,91.5,0.6,0.6,3,6.8,0.1,1.8,94,87.9,30529,8.8,55481,33920,35104,3.5,88.5,NC
16.8,22.7,5.3,Davidson County,17.6,80.4,0.8,1.4,9.4,6.8,0,1.5,86.9,81,22549,16.3,43083,162878,164072,0.7,294.7,NC
19.3,21.9,5.1,Davie County,24.9,85.4,0.6,0.8,6.5,6.4,0,1.6,90.4,84.9,26319,13.4,50139,41240,41434,0.5,156.2,NC
15.8,24.9,6.6,Duplin County,10.4,71.4,1.4,0.6,26,21.6,0.4,1.4,70.2,51.8,17122,26.3,34433,58505,59882,2.4,71.7,NC
11.1,22,7,Durham County,45.1,86.9,1,4.9,38.6,13.4,0.1,2.4,53,42.2,29347,18.5,51853,267587,294460,9.1,935.7,NC
16.9,23.2,6.4,Edgecombe County,10.5,79.5,0.7,0.3,57.7,4.2,0.2,1.1,40.1,37,16971,25.2,33960,56552,54933,-2.9,111.9,NC
14.4,23.7,6.3,Forsyth County,31.9,87,0.8,2.3,27.1,12.6,0.1,2.1,67.5,57.7,26541,18.6,45724,350670,365298,4.2,859.2,NC
15.2,23,5.6,Franklin County,17.1,81.2,0.9,0.6,26.8,8,0.1,1.8,69.8,63.5,21399,16.1,41696,60619,62860,3.7,123.3,NC
15.1,23.1,6.1,Gaston County,18,81,0.5,1.4,16.1,6.4,0.1,1.8,80.2,74.6,22658,17.9,42017,206086,211127,2.4,578.8,NC
17.8,21.6,5,Gates County,11.6,83.3,0.6,0.2,33.2,2,0.1,2.2,63.7,62.3,21187,19.6,46592,12197,11567,-5.1,35.8,NC
22.3,21.2,5.4,Graham County,14.4,78.6,7.4,0.4,0.4,3.2,0.1,2,89.7,87.5,19780,21.1,33903,8861,8644,-2.4,30.3,NC
15.3,21.3,4.9,Granville County,16.4,81.1,0.8,0.7,32.1,7.6,0.1,1.7,64.7,58.5,22295,15.4,49852,59916,58500,1.7,112.7,NC
14.8,21.5,5.8,Greene County,11.6,76,2.2,0.5,36.6,14.7,0.2,1.2,59.2,47.7,18441,23.3,40853,21362,21093,-1.3,80.3,NC
13.8,22.8,6.1,Guilford County,33.2,87.9,0.7,4.6,34,7.6,0.1,2.2,58.4,52.3,26461,18.1,45431,488406,512119,4.9,756.4,NC
18.3,21.9,5.5,Halifax County,11.8,75.8,4,0.8,53.2,2.7,0.1,1.2,40.8,39.1,17937,27.4,32329,54691,52970,-3.1,75.5,NC
11.2,27.2,7.5,Harnett County,18.5,84.4,1.7,1.3,21.5,11.9,0.2,3.2,72.1,62.7,20310,17.2,44625,114678,126666,10.5,192.7,NC
23.7,18.4,4.4,Haywood County,23.1,86.1,0.6,0.5,1.2,3.7,0,1.1,96.5,93.2,24536,16.6,41557,59036,59471,0.7,106.6,NC
24.5,19.7,4.9,Henderson County,27.7,87.5,0.7,1.1,3.4,9.9,0.2,1.7,93,83.9,25670,14.1,44815,106740,111149,4.1,286.1,NC
17.5,19.8,5.3,Hertford County,15.4,77.5,1.7,0.8,59.8,3.8,0,1.4,36.3,33.9,17863,26,33406,24669,24308,-1.4,69.9,NC
8.4,28.8,9.3,Hoke County,17.2,84,9.5,1.5,34.3,12.5,0.4,4,50.4,41.2,18761,22.9,45489,46952,51611,9.9,120.2,NC
17.7,18,4.4,Hyde County,10.7,78.8,0.7,0.5,29.6,8,0,1.2,68,60.9,18408,25.6,42279,5810,5676,-2.3,9.5,NC
14.6,23.9,5.6,Iredell County,23.9,85.9,0.5,2.4,12.2,7.3,0.1,1.8,83.1,76.8,26467,13.8,50329,159437,166675,4.5,277.8,NC
17.7,17.1,4.7,Jackson County,27.9,85,9.6,1,2.3,5.1,0.1,1.9,85.2,81.4,21014,21.8,36951,40271,40981,1.8,82.1,NC
12.3,26.4,6.5,Johnston County,20.4,83.2,0.9,0.8,16,13.4,0.1,1.9,80.4,68.9,22410,17.2,49711,168878,181423,7.4,213.4,NC
21.7,19,4.5,Jones County,11.1,83.8,0.7,0.5,31.1,4.4,0,1.8,65.9,62.1,20105,16.7,36213,10153,10076,-0.8,21.6,NC
15,25.3,7,Lee County,20.2,80.2,1.4,1.1,20.1,19.5,0.2,2,75.2,58.3,21449,18.9,44819,57866,59662,3.1,227,NC
17.9,22.9,5.9,Lenoir County,14,79,0.6,0.7,41,7.5,0.2,1.2,56.3,50.1,19760,23.7,35770,59495,58485,-1.7,148.5,NC
15.9,21.9,5,Lincoln County,19.4,83.6,0.4,0.6,5.8,7.2,0,1.3,91.7,85.2,25550,15.6,48940,78265,79829,2,262.7,NC
18.5,20.7,5.2,McDowell County,13.9,80.8,0.7,0.9,4.1,5.5,0.1,1.4,92.8,88.4,18932,21.9,35297,44996,44965,-0.1,102.1,NC
26.4,18.9,4.9,Macon County,20.5,85.7,0.7,0.8,1.8,6.6,0,1.1,95.6,89.7,23213,21.3,37892,33922,33875,-0.1,65.8,NC
19.8,19.1,4.9,Madison County,18.6,80.8,0.5,0.5,1.8,2.7,0,1.3,95.9,93.6,19902,17.3,38598,20764,21157,1.8,46.2,NC
20.6,20.7,5.2,Martin County,11.9,81.5,0.4,0.5,42.9,3.6,0.2,1,55,52.2,18783,23.2,35111,24505,23454,-4.3,53.1,NC
10,24.6,7,Mecklenburg County,40.7,88.8,0.8,5.5,32.2,12.7,0.1,2.2,59.2,48.8,32482,15.4,55444,919628,1012539,10.1,1755.5,NC
23.4,18.6,4.6,Mitchell County,16.9,81.3,0.9,0.5,0.7,4.6,0.1,1.1,96.7,93.1,21404,18.3,37680,15579,15311,-1.7,70.4,NC
18.5,23.2,6.1,Montgomery County,15.1,71.8,1,1.5,19,15.2,0,1.4,77.1,63.7,18865,25.6,31830,27798,27395,-1.4,56.5,NC
23.8,21.2,5.4,Moore County,31.3,89.7,1,1.2,13,6.3,0.2,1.9,82.8,77.3,28913,15.6,49544,88247,93077,5.5,126.5,NC
16.4,22.9,5.8,Nash County,19.2,83.1,0.9,1,39.4,6.6,0,1.7,56.8,51.6,22880,17,43084,95840,94357,-1.5,177.3,NC
15.8,19.4,5.3,New Hanover County,36.6,90.6,0.6,1.4,14.6,5.4,0.1,2,81.3,76.9,29679,16.9,49835,202667,216298,6.7,1058.1,NC
23,19,5.1,Northampton County,9.4,72.9,0.6,0.3,58.4,2,0,1.1,39.6,38.3,17919,26.3,31433,22099,20463,-7.4,41.2,NC
8.4,25.4,9.8,Onslow County,18,90.2,0.9,2.2,15.8,12.1,0.3,4.2,76.6,66.9,21084,15.2,45450,177772,187589,5.5,233.1,NC
11.2,20.4,4.7,Orange County,55.8,91,0.6,7.7,12.2,8.4,0.1,2.5,76.8,69.6,34465,17.8,55569,133801,140420,5,336.2,NC
26,16.5,3.8,Pamlico County,18.7,85.7,0.7,0.6,20.1,3.5,0.1,1.5,77,74.1,23724,13.8,43853,13144,12948,-1.5,39.1,NC
15.5,21.6,6.1,Pasquotank County,20.1,83.7,0.5,1.5,37.3,4.7,0.1,2.1,58.5,54.9,22745,18.4,46053,40661,39787,-2.1,179.2,NC
17.1,22.5,5.5,Pender County,21.7,86.7,0.9,0.7,16.8,6.4,0.1,1.9,79.7,74.4,23526,19.3,44524,52217,56250,7.8,60,NC
24.3,20.3,4.7,Perquimans County,18.4,83.7,0.4,0.5,24.4,2.3,0,1.5,73.2,71.4,23809,20.2,43709,13453,13466,0.1,54.4,NC
17.5,21.8,5.4,Person County,14.7,83,0.9,0.5,27.3,4.2,0,1.5,69.9,66.4,21292,18,42317,39464,39132,-0.8,100.6,NC
11.3,21.9,6.1,Pitt County,28.1,85.8,0.5,1.9,34.8,5.9,0.1,1.9,60.7,56.2,23029,24.3,40718,168148,175354,4.3,257.9,NC
27.5,17.3,3.6,Polk County,26.9,87,0.6,0.6,4.5,5.6,0,1.4,92.9,88.1,24611,16.7,44745,20510,20357,-0.7,86.3,NC
16.1,23.6,5.8,Randolph County,13.8,78,1,1.2,6.3,11.1,0.1,1.5,89.8,80.1,20523,17.8,41208,141752,142778,0.7,181.1,NC
16.1,23.6,6.2,Richmond County,12.4,80.1,3.1,1,31.4,6.4,0.1,2,62.4,57.6,17236,25.9,32384,46639,45733,-1.9,98.4,NC
13,25.9,7.2,Robeson County,12.5,71.5,39.7,0.8,24.7,8.1,0.1,2.6,32.2,26.6,15343,31.7,29806,134168,134760,0.4,141.3,NC
18.4,21,5.1,Rockingham County,12.9,79,0.5,0.6,19,5.9,0.1,1.7,78.1,72.9,21102,17.9,38567,93643,91696,-2.1,165.6,NC
16.3,22.8,5.6,Rowan County,17,81,0.6,1.1,16.6,8.2,0.1,1.5,80.1,72.9,20912,18.8,41495,138428,138630,0.1,270.7,NC
19.5,21.4,5.3,Rutherford County,17,81.6,0.4,0.6,9.9,4.1,0.1,1.8,87.3,83.8,19551,21.5,36334,67810,66600,-1.8,120.2,NC
16,24.7,6.5,Sampson County,12.6,75,3.1,0.6,27,18.4,0.3,1.8,67.4,52.2,19479,22.8,36496,63431,64050,1,67.1,NC
16.1,23.5,6.5,Scotland County,14.3,77.6,11.4,0.8,39.2,2.9,0,2.2,46.4,44.6,15679,32.3,29592,36157,35576,-1.6,113.4,NC
17.6,21.7,5.5,Stanly County,16,80.6,0.4,2,11.3,3.9,0.3,1.3,84.7,81.5,20504,16.1,42518,60585,60600,0,153.3,NC
19.1,20,4.5,Stokes County,13.4,81.1,0.5,0.4,4.2,2.9,0,1,93.9,91.4,21311,15.8,42703,47401,46419,-2.1,105.6,NC
18.9,22.2,5.3,Surry County,15,75.3,0.6,0.7,4.1,10.1,0.1,1.1,93.4,84.3,20219,19.9,35641,73673,72968,-1,138.4,NC
18.5,22.7,6.3,Swain County,16.3,82.1,27.9,0.6,1.3,4.7,0,4.5,65.7,63.6,19626,27.2,36094,13981,14274,2.1,26.5,NC
28.5,16.4,3.9,Transylvania County,27.6,88.4,0.4,0.5,4.1,3.2,0,1.7,93.2,90.3,23757,14.3,41781,33090,33045,-0.1,87.4,NC
19.4,18,5.4,Tyrrell County,8.4,71.5,0.8,2.4,36.3,6.7,0,1.7,58.9,53.3,16658,20.8,34216,4407,4115,-6.6,11.3,NC
11.3,28.6,6,Union County,31.8,87.8,0.6,2.2,12.1,11,0.1,1.8,83.2,73.5,28894,9.4,65892,201292,218568,8.6,318.7,NC
16.4,24.1,6.7,Vance County,11.4,75.6,0.7,0.5,50.9,7.2,0,1.4,46.4,40.9,17905,28,34987,45422,44614,-1.8,179.2,NC
10,25,6.5,Wake County,48,91.6,0.8,6.4,21.3,10,0.1,2.3,69,61,33166,11,66006,900993,998691,10.8,1078.8,NC
21.5,18.9,4.7,Warren County,13.5,76.5,5.5,0.4,51.5,4,0,1.6,41,38.4,19052,26.2,34285,20972,20231,-3.5,48.9,NC
21.1,21.3,5.6,Washington County,11.7,79,0.9,0.4,48.7,4.8,0,1.7,48.3,45.3,18779,23.7,34936,13228,12570,-4.9,38,NC
14.2,13.2,3.4,Watauga County,37.9,89,0.3,1.1,1.9,3.5,0,1.4,95.1,92.1,21854,31.3,34293,51079,52560,2.9,163.4,NC
