Percent 65 and Older,Percent Under 18 Years,Percent Under 5 Years,county,Bachelor's Degree or Higher,High School or Higher,American Indian and Alaska Native Alone,Asian Alone,Black Alone,Hispanic or Latino,Native Hawaiian and Other Pacific Islander Alone,Two or More Races,White Alone,"White Alone, not Hispanic or Latino",Per Capita Income,Persons Below Poverty Level,Median Household Income,2010 Population,2014 Population,Population Percent Change,Population per Square Mile,state
17.1,21.7,5.2,Fayette County,13.1,84.2,0.2,0.4,4.7,1.7,0,1.1,93.6,92.2,21523,17,44722,22140,21870,-1.2,30.9,IL
19.8,22.8,5.4,Ford County,16.3,88.6,0.3,0.4,1,2.9,0,1,97.2,94.6,25448,10.5,48866,14081,13688,-2.8,29,IL
19.5,22.1,5.8,Franklin County,13.1,87.1,0.4,0.4,0.5,1.6,0,1.2,97.4,96.1,20394,19.1,36273,39561,39411,-1.4,96.8,IL
18.9,20.2,5.1,Fulton County,14.5,86.4,0.6,0.4,3.9,2.7,0,0.9,94.2,92.2,22318,13.3,45130,37069,36007,-2.9,42.8,IL
22.8,19.9,4.6,Gallatin County,12,81.3,0.3,0.1,0.8,1.9,0,1.5,97.3,95.4,23862,17.2,40330,5589,5291,-5.3,17.3,IL
18.3,22,5.8,Greene County,12.9,88.6,0.2,0.1,1.1,1,0,0.7,97.8,96.9,22307,13.2,43502,13886,13434,-3.3,25.6,IL
12.9,25.9,6.3,Grundy County,20.2,91.7,0.4,0.8,1.5,9.3,0,1.2,96,87.4,28725,9,64541,50063,50425,0.7,119.8,IL
20.2,22.3,5.5,Hamilton County,15.7,83.8,0.3,0.2,0.6,1.6,0,0.9,97.9,96.6,21960,17.1,38417,8457,8296,-1.9,19.5,IL
23.1,20.6,5,Hancock County,18.4,90.6,0.3,0.3,0.4,1.5,0.1,0.9,98,96.7,23714,13.6,43925,19104,18564,-2.8,24.1,IL
23.3,20,4.7,Hardin County,12.2,83.2,0.7,0.7,0.7,1.6,0.1,1,96.7,95.2,22366,23.6,37071,4320,4129,-4.4,24.3,IL
23.6,18.3,3.5,Henderson County,15.7,88.4,0.3,0.3,0.4,1.5,0.1,1.1,97.8,96.5,25902,11.3,49389,7331,6916,-5.6,19.3,IL
18.5,22.6,5.4,Henry County,19.8,89.7,0.3,0.5,1.9,5.4,0,1.4,95.9,91,27117,10.5,52940,50486,49635,-1.7,61.3,IL
20.4,22.2,5.5,Iroquois County,14.6,88.3,0.3,0.6,1.1,6.5,0,1.3,96.7,90.6,25098,13.7,47079,29718,28879,-2.8,26.6,IL
13,18,5,Jackson County,35.1,89.7,0.5,3.9,14.9,4.2,0.1,2.9,77.7,74.5,20527,30.4,33479,60218,59677,-0.9,103.1,IL
18.2,22.9,6.1,Jasper County,16.2,91.5,0.2,0.3,0.3,1.4,0,0.8,98.4,97.1,24174,6.6,52233,9698,9623,-0.8,19.6,IL
17.6,21.8,6.3,Jefferson County,15.9,86.8,0.3,1.1,8.9,2.3,0,1.7,87.9,86.1,22620,16.5,42981,38827,38534,-0.7,68,IL
17.6,21.6,5,Jersey County,16.2,88.3,0.3,0.5,0.7,1.3,0,1.2,97.3,96.3,25467,7.6,53954,22985,22571,-1.8,62.2,IL
24.6,19.3,4.3,Jo Daviess County,23.7,91.9,0.2,0.5,0.6,3.1,0,0.9,97.7,94.8,29675,9.5,50817,22678,22254,-1.9,37.7,IL
19.3,18.5,4.8,Johnson County,15.1,83.4,0.3,0.3,8.5,3.3,0,1,89.9,87.2,18763,14.1,40760,12582,12601,0.2,36.6,IL
11.7,27.1,6.7,Kane County,31.7,82.8,1,4,6.1,31.3,0.1,1.8,87,58.1,30082,11.1,69530,515269,527306,2.3,990.8,IL
14.9,24.1,6,Kankakee County,17.1,86.4,0.4,1.1,15.5,9.9,0,1.8,81.2,72.3,23779,16.4,50102,113449,111375,-1.8,167.7,IL
9,29.8,7.3,Kendall County,34.2,92.5,0.5,3.3,6.7,16.9,0,1.9,87.6,71.9,31276,4.8,81765,114736,121350,5.8,358.2,IL
19.6,20,5,Knox County,17,85.9,0.4,0.9,8,5.6,0,2.4,88.3,83.7,22093,16.7,40667,52919,52069,-1.6,73.9,IL
12.2,25.4,5.9,Lake County,41.9,88.9,0.9,7.2,7.5,21,0.1,2,82.3,63.3,38018,9,77469,703462,705186,0.3,1585.6,IL
17.6,22.1,5.4,LaSalle County,15.9,88.4,0.3,0.9,2.3,8.9,0,1.2,95.2,86.9,25709,12.2,52640,113924,111241,-2.4,100.4,IL
17,18.8,5.1,Lawrence County,8.4,76.1,0.3,0.4,10.1,3.7,0,1,88.1,85,14147,13.3,40145,16833,16519,-2.3,45.2,IL
17.5,20.3,5.1,Lee County,16,86.4,0.3,0.9,5.3,5.8,0,1.3,92.1,87,25409,10.7,50060,36031,34735,-3.6,49.7,IL
17,21.6,5.6,Livingston County,14.5,86.1,0.3,0.7,5.5,4.5,0,1.3,92.2,88.2,24952,10.3,54614,38950,37903,-2.7,37.3,IL
17.1,19,4.7,Logan County,16.2,85.8,0.3,0.8,8.1,3.4,0,1.4,89.3,86.6,21445,13.8,47133,30305,29746,-1.8,49,IL
14.9,16.6,4.8,McDonough County,33.3,91.7,0.3,2.2,5.4,2.7,0,1.8,90.3,88.1,20042,23.1,36031,32612,31880,-2.2,55.3,IL
12.1,25,5.5,McHenry County,32.4,92.1,0.5,2.8,1.4,12.4,0.1,1.4,93.8,82.2,32341,7.7,76145,308760,307283,-0.5,511.9,IL
11.4,22.1,6.1,McLean County,42.8,94.4,0.3,5.3,7.7,4.8,0,2.2,84.4,80.3,30460,14.2,62089,169572,174061,2.6,143.3,IL
17.9,22.4,6.2,Macon County,22.3,88.1,0.3,1.2,17.1,2.1,0,2.6,78.9,77.2,26232,17.6,46559,110768,108350,-2.2,190.8,IL
18.7,21.5,5.1,Macoupin County,15.9,89.1,0.3,0.4,1.1,1,0,1,97.2,96.3,24658,12.4,49590,47765,46453,-2.7,55.4,IL
15.7,22.2,5.9,Madison County,24.4,90.9,0.3,0.9,8.3,3.1,0.1,1.9,88.5,85.7,27407,14,53633,269282,266560,-1,376.3,IL
